"Discount","Customer ID","Ship Mode","Customer Segment","Product Category","Product Name","Region","Order Date","Ship Date","Order ID","Profit","Quantity ordered new","Sales"
0.04,"92","2","2","2","Acme® 8"" Straight Scissors","3",42162,42164,"87178",22.818,16,216.04
0.04,"94","1","3","1","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms","1",42127,42129,"44231",116.1,37,1913.84
0.01,"94","3","3","3","Belkin 107-key enhanced keyboard, USB/PS/2 interface","1",42127,42129,"44231",-87.96,146,1913.84
0.04,"97","1","3","1","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms","1",42127,42129,"87306",255.42,9,1526.68
0.06,"97","3","3","3","5185","1",42127,42128,"87306",411.5172,20,1913.84
0.1,"101","3","1","3","Belkin 105-Key Black Keyboard","2",42177,42179,"88205",-16.2,16,303.59
0.04,"102","1","1","1","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","2",42100,42101,"42599",411.5172,31,1913.84
0.1,"102","3","1","3","Belkin 105-Key Black Keyboard","2",42177,42179,"3397",-20.25,65,1233.32
0.09,"102","3","1","2","Avery Durable Binders","2",42177,42178,"3397",-3.381,17,1913.84
0.04,"107","1","1","1","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","2",42100,42101,"88204",411.5172,8,1913.84
0.09,"109","3","1","2","Avery Durable Binders","2",42177,42178,"88205",-2.7048,4,11.13
0.03,"114","3","3","2","Dixon Prang® Watercolor Pencils, 10-Color Set with Brush","4",42007,42008,"89583",18.658,7,29.5
0.01,"114","3","3","2","Avery 493","4",42098,42100,"89584",40.2477,12,58.33
0.09,"114","2","3","2","EcoTones® Memo Sheets","4",42098,42100,"89584",14.0898,5,20.42
0.07,"115","3","3","3","Fuji Slim Jewel Case CD-R","4",42103,42105,"89585",-55.84,12,26.07
0.03,"117","3","3","2","Dixon Prang® Watercolor Pencils, 10-Color Set with Brush","4",42007,42008,"7909",9.82,29,122.23
0.01,"117","3","3","2","Avery 493","4",42098,42100,"13959",112.06,47,228.46
0.09,"117","2","3","2","EcoTones® Memo Sheets","4",42098,42100,"13959",16.79,19,77.61
0.07,"117","3","3","3","Fuji Slim Jewel Case CD-R","4",42103,42105,"58914",-55.84,46,99.94
0.05,"120","3","2","2","Avery 51","4",42016,42017,"86520",41.2965,10,59.85
0.09,"120","2","2","3","6185","4",42016,42018,"86520",411.5172,10,1708.73
0.06,"123","3","3","2","Acme® Office Executive Series Stainless Steel Trimmers","3",42103,42104,"90669",105.678,11,94.97
0.02,"129","3","4","1","Eldon Regeneration Recycled Desk Accessories, Smoke","1",42031,42032,"86693",-37.39,5,10.23
0.07,"129","3","4","2","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","1",42149,42150,"86694",149.8887,14,217.23
0.04,"136","3","4","2","Xerox 1939","4",42140,42141,"88534",3.04,5,101.74
0.09,"136","3","4","2","Fiskars® Softgrip Scissors","4",42140,42141,"88534",2.706,8,84.52
0.03,"142","3","4","2","Xerox 1964","2",42157,42158,"91087",91.956,13,312.59
0.05,"144","3","4","2","Fiskars® Softgrip Scissors","2",42157,42158,"91087",-2.544,6,64.4
0.06,"145","3","4","2","Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page","2",42019,42021,"91086",2.4852,2,14.65
0.07,"145","2","3","1","Laminate Occasional Tables","2",42079,42079,"91089",-381.8412,3,453.62
0.01,"146","3","4","1","Tenex B1-RE Series Chair Mats for Low Pile Carpets","1",42075,42076,"91088",133.5771,4,193.59
0.06,"146","1","2","1","Global Ergonomic Managers Chair","1",42117,42118,"91090",251.4084,5,929.57
0.09,"151","3","3","3","PC Concepts 116 Key Quantum 3000 Keyboard","3",42026,42027,"89521",-20.258,2,62.46
0.09,"151","3","3","2","Wausau Papers Astrobrights® Colored Envelopes","3",42114,42116,"89523",13.896,5,28.11
0.09,"152","3","1","2","Newell 335","3",42019,42020,"89520",-172.718,2,5.5
0.01,"152","3","3","1","Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets","3",42113,42120,"89522",-40.684,8,667.84
0.01,"152","3","1","3","StarTAC Analog","3",42092,42095,"89524",97.86,5,292.23
0.1,"152","3","4","3","Microsoft Natural Keyboard Elite","3",42173,42177,"89525",360.24,21,772.56
0.01,"156","3","2","3","T60","4",42138,42139,"87671",411.5172,13,1050.08
0.03,"156","3","2","2","Belkin 6 Outlet Metallic Surge Strip","4",42029,42030,"87672",-18.64,3,33.82
0.05,"164","1","3","1","Bush Westfield Collection Bookcases, Fully Assembled","4",42006,42008,"89961",-111.4,7,715.55
0.02,"164","3","3","2","Xerox 1952","4",42006,42007,"89961",-77.03,9,45.63
0.08,"166","1","1","3","Okidata ML320 Series Turbo Dot Matrix Printers","3",42015,42022,"89426",28.5141,5,1839.91
0.08,"169","3","2","3","Fellowes Mobile Numeric Keypad, Graphite","3",42007,42009,"87463",280.27458,3,130.62
0.05,"169","3","2","3","Polycom ViaVideo™ Desktop Video Communications Unit","3",42007,42014,"87463",-112.4263,12,1913.84
0.04,"169","3","2","2","Staples Wirebound Steno Books, 6"" x 9"", 12/Pack","3",42007,42011,"87463",24.924,3,30.94
0.05,"171","3","2","2","Staples® General Use 3-Ring Binders","2",42107,42109,"87464",-2.9095,1,3.42
0.02,"181","3","4","3","Zoom V.92 USB External Faxmodem","4",42056,42056,"38087",-76.89,18,901.81
0.07,"181","3","2","2","Newell 323","4",42146,42147,"3585",-35.75,116,186.59
0.02,"184","3","4","3","Zoom V.92 USB External Faxmodem","2",42056,42056,"88360",-76.89,5,250.5
0.07,"188","3","2","2","Riverleaf Stik-Withit® Designer Note Cubes®","1",42146,42146,"88361",152.6556,23,221.24
0.07,"188","3","2","2","Newell 323","1",42146,42147,"88361",7.15000000000001,29,46.65
0.1,"190","3","2","2","Avery Arch Ring Binders","1",42047,42048,"89092",113.6499,3,164.71
0.01,"191","3","2","2","APC 7 Outlet Network SurgeArrest Surge Protector","1",42047,42050,"89092",-35.4744,1,79.68
0.05,"191","3","2","2","Durable Pressboard Binders","1",42103,42105,"89093",14.467,14,53.26
0.09,"191","3","2","3","Fellowes 17-key keypad for PS/2 interface","1",42103,42103,"89093",-99.9864,7,203.49
0,"191","3","2","3","StarTAC ST7762","1",42103,42104,"89093",411.5172,22,1913.84
0,"193","1","2","3","Panasonic KX-P2130 Dot Matrix Printer","4",42007,42009,"90430",-381.8412,1,224.12
0.07,"193","3","2","2","Wilson Jones® Four-Pocket Poly Binders","4",42093,42095,"90432",-66.0445,21,140.3
0.02,"194","3","2","2","Xerox 1996","4",42014,42015,"90431",-105.6852,4,28.2
0.09,"194","3","2","2","Acco® Hot Clips™ Clips to Go","4",42093,42095,"90432",15.66,23,71.55
0,"197","3","4","2","Fellowes Super Stor/Drawer® Files","1",42096,42098,"88921",411.5172,19,1913.84
0,"198","3","4","2","Fellowes Super Stor/Drawer® Files","1",42096,42098,"51072",411.5172,77,1913.84
0.09,"202","3","2","2","Xerox 1933","1",42121,42122,"88971",1.73,3,34.65
0.03,"202","3","2","3","Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box","1",42020,42022,"88972",-133.7,11,85.79
0.05,"210","3","3","2","Super Bands, 12/Pack","2",42021,42025,"85965",-66.62,9,17.61
0.09,"210","2","3","2","3M Organizer Strips","2",42157,42157,"85966",-21.48775,4,27.3
0.02,"210","3","3","1","Seth Thomas 8 1/2"" Cubicle Clock","2",42157,42157,"85966",44.6775,3,64.75
0,"210","3","3","2","Newell 309","2",42157,42158,"85966",23.595,5,62.98
0.01,"211","3","1","2","Riverleaf Stik-Withit® Designer Note Cubes®","2",42010,42012,"85964",7.59,2,21.2
0,"211","3","1","3","252","2",42010,42012,"85964",-107.987,3,173.32
0.05,"211","3","3","2","Kleencut® Forged Office Shears by Acme United Corporation","2",42157,42158,"85966",-36.25,20,42.29
0.05,"218","1","1","3","Hewlett-Packard 2600DN Business Color Inkjet Printer","4",42164,42166,"88048",-102.5121,6,730.37
0.03,"228","1","4","1","Global Push Button Manager's Chair, Indigo","3",42096,42097,"88527",36.354,7,450.49
0.07,"233","3","4","2","Fellowes Black Plastic Comb Bindings","1",42055,42057,"90237",-243.2365,10,58.8
0.04,"233","3","4","1","Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak","1",42055,42056,"90237",-53.62,12,120.47
0.06,"234","1","4","2","Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators","1",42040,42041,"90236",411.5172,6,1599.96
0.03,"234","3","4","2","Lock-Up Easel 'Spel-Binder'","1",42090,42092,"90238",136.3371,7,197.59
0.01,"234","3","4","3","Memorex 4.7GB DVD+R, 3/Pack","1",42090,42092,"90238",-12.46,2,33.04
0.06,"234","2","4","2","Eldon Spacemaker® Box, Quick-Snap Lid, Clear","1",42122,42124,"90239",-175.86,8,27.45
0,"236","1","2","3","Okidata ML390 Turbo Dot Matrix Printers","4",42057,42057,"86621",411.5172,10,1913.84
0.1,"240","2","4","2","Xerox Blank Computer Paper","4",42114,42114,"90479",35.09,3,57.41
0.06,"241","1","4","1","Bevis Round Bullnose 29"" High Table Top","4",42114,42115,"90479",411.5172,11,1913.84
0.01,"241","3","4","2","Storex Dura Pro™ Binders","4",42150,42157,"90480",-256.519,13,79.93
0.02,"241","3","4","3","270c","4",42150,42150,"90480",398.358,8,873.18
0.02,"247","1","2","1","BPI Conference Tables","3",42058,42058,"89139",-101.192,5,798.69
0.06,"247","3","2","3","252","3",42058,42059,"89139",-3.33200000000003,14,792.11
0.09,"247","3","2","2","Avery 514","3",42084,42086,"89140",-145.082,10,28.73
0.02,"250","2","2","2","DIXON Oriole® Pencils","1",42152,42153,"87214",1.108,39,109.74
0.02,"250","3","2","3","StarTAC Series","1",42152,42153,"87214",411.5172,27,1543.55
0.1,"254","1","3","1","Global Adaptabilities™ Conference Tables","4",42165,42166,"86268",-53.745,5,1332.82
0.03,"256","3","3","2","Acme® Elite Stainless Steel Scissors","2",42035,42037,"86267",0.683999999999999,4,34.64
0.05,"258","3","1","3","Maxell Pro 80 Minute CD-R, 10/Pack","3",42006,42008,"85858",-127.008,3,52.47
0.09,"259","3","1","2","Newell 340","4",42023,42023,"85857",5.7532,10,26.38
0.05,"263","1","4","1","Hon iLevel™ Computer Training Table","2",42025,42027,"86297",-381.8412,9,304.34
0,"266","2","2","3","Keytronic 105-Key Spanish Keyboard","1",42142,42144,"90593",326.25,17,1300.81
0.08,"266","3","2","2","Xerox 214","1",42139,42140,"90594",8.93200000000001,10,67.86
0.01,"266","3","2","2","Tennsco Commercial Shelving","1",42139,42140,"90594",229.638,33,747.28
0.02,"268","3","3","2","Staples Brown Kraft Recycled Clasp Envelopes","4",42101,42106,"88941",-22.48,3,18.67
0.03,"268","3","3","1","Eldon Executive Woodline II Cherry Finish Desk Accessories","4",42101,42108,"88941",78.98,5,210.77
0.09,"269","3","3","2","Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray","4",42160,42165,"88942",144.2928,6,209.12
0,"269","3","3","1","Tenex Antistatic Computer Chair Mats","4",42160,42167,"88942",411.5172,7,1287.17
0.09,"269","3","3","2","Xerox 1922","4",42160,42162,"88942",-46.005,9,46.17
0.1,"271","1","4","3","Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer","3",42093,42094,"88940",128.0253,12,899.81
0.02,"272","3","3","2","Staples Brown Kraft Recycled Clasp Envelopes","3",42101,42106,"5509",-29.8984,11,68.46
0.03,"272","3","3","1","Eldon Executive Woodline II Cherry Finish Desk Accessories","3",42101,42108,"5509",52.9166,21,885.23
0.09,"272","3","3","2","Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray","3",42160,42165,"36069",72.1858,24,836.47
0.09,"272","3","3","2","Xerox 1922","3",42160,42162,"36069",-122.3733,37,189.83
0.09,"275","3","2","2","Recycled Premium Regency Composition Covers","2",42028,42029,"89292",-51.75,4,61.52
0.04,"276","2","2","2","Brites Rubber Bands, 1 1/2 oz. Box","2",42145,42146,"89291",-1,3,8.3
0.03,"282","3","2","3","Accessory36","2",42145,42146,"89291",-221.254,9,416.95
0.1,"283","3","2","2","Newell 323","2",42172,42173,"89293",-11.57,11,18.71
0,"286","3","4","2","ACCOHIDE® Binder by Acco","1",42172,42176,"89761",-61.87,9,40.95
0.1,"286","1","4","1","O'Sullivan Elevations Bookcase, Cherry Finish","1",42172,42176,"89761",-381.8412,9,1155.73
0.09,"288","3","4","3","Memorex 4.7GB DVD+RW, 3/Pack","1",42020,42023,"89762",132.687,7,192.3
0.08,"288","2","4","3","MicroTAC 650","1",42020,42022,"89762",411.5172,14,748.1
0.04,"290","3","4","3","Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack","4",42088,42089,"90837",-135.16,20,102.54
0.01,"306","3","4","3","80 Minute Slim Jewel Case CD-R , 10/Pack - Staples","2",42049,42050,"87057",15.8952,8,70.16
0.04,"306","3","4","3","Accessory34","2",42049,42051,"87057",411.5172,17,1240.57
0.01,"308","3","4","3","80 Minute Slim Jewel Case CD-R , 10/Pack - Staples","4",42049,42050,"37760",10.74,32,280.62
0.04,"314","3","2","2","High Speed Automatic Electric Letter Opener","1",42083,42085,"89166",-381.8412,2,1913.84
0.01,"315","3","2","3","Belkin 105-Key Black Keyboard","2",42083,42083,"89166",-72.23,2,43.08
0.09,"317","3","2","1","Eldon® Expressions™ Wood Desk Accessories, Oak","4",42172,42173,"86041",-27.16,9,66.55
0.04,"317","3","2","2","Xerox 193","4",42172,42173,"86041",-52.344,17,103.49
0.04,"317","3","2","2","Decoflex Hanging Personal Folder File, Blue","4",42172,42173,"86041",-119.936,12,192.18
0.04,"321","3","1","3","80 Minute Slim Jewel Case CD-R , 10/Pack - Staples","2",42098,42103,"91057",9.9268,11,89.76
0.06,"326","3","1","3","Bell Sonecor JB700 Caller ID","1",42164,42165,"90973",-29.172,4,28.46
0.06,"329","1","3","1","Hon 94000 Series Round Tables","2",42108,42109,"89726",-381.8412,5,1170.21
0.01,"331","2","3","3","Acco Keyboard-In-A-Box®","2",42108,42110,"89726",-22.82,8,243.32
0.06,"335","3","2","1","SAFCO Arco Folding Chair","4",42128,42129,"87277",411.5172,14,1913.84
0.09,"335","3","2","1","Eldon® 200 Class™ Desk Accessories, Burgundy","4",42128,42128,"87277",-5.2,1,8.53
0.08,"339","3","2","2","Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags","2",42080,42081,"90583",-83.65,5,40.3
0.07,"339","3","2","1","Master Giant Foot® Doorstop, Safety Yellow","2",42080,42082,"90583",24.39,15,111.88
0.01,"342","3","2","2","Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink","3",42128,42130,"3332",-4.6683,20,73.97
0.03,"343","1","2","1","Anderson Hickey Conga Table Tops & Accessories","2",42035,42036,"88151",11.65095,7,111.86
0.01,"344","3","2","2","Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink","2",42128,42130,"88152",0.702000000000001,5,18.49
0,"349","2","3","2","Acme® Elite Stainless Steel Scissors","3",42164,42166,"17446",5.8625,23,212.89
0.04,"349","3","3","1","GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box","3",42006,42008,"11527",411.5172,54,1913.84
0,"351","2","3","2","Acme® Elite Stainless Steel Scissors","2",42164,42166,"88685",10.5,6,55.54
0.04,"351","3","3","1","GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box","2",42006,42008,"88686",411.5172,14,1440.34
0.08,"353","2","3","3","Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack","4",42138,42138,"89647",-165.45,17,84.76
0.07,"353","3","3","2","Xerox 1898","4",42138,42145,"89647",-141.12,16,104.84
0.07,"357","1","2","1","Bevis 36 x 72 Conference Tables","4",42148,42149,"91131",411.5172,14,1714.93
0.04,"358","3","2","3","M70","2",42013,42020,"91130",-381.8412,1,107.95
0.05,"366","1","4","2","Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black","2",42021,42023,"87347",411.5172,6,1913.84
0.09,"369","2","2","1","Executive Impressions 13"" Clairmont Wall Clock","4",42105,42107,"90292",211.232,21,394.1
0.02,"370","3","2","3","1726 Digital Answering Machine","2",42151,42153,"90291",49.788,15,266.39
0.05,"371","2","2","2","3M Organizer Strips","2",42151,42153,"90291",-132.6295,9,51.82
0.02,"373","1","4","1","O'Sullivan Living Dimensions 3-Shelf Bookcases","1",42077,42079,"24193",-163.63,45,1913.84
0.02,"373","3","4","2","Xerox 1971","1",42077,42078,"24193",-63.87,24,109.86
0.04,"373","3","4","3","Accessory4","1",42077,42079,"24193",-175.175,19,1426.51
0.02,"375","1","4","1","O'Sullivan Living Dimensions 3-Shelf Bookcases","3",42077,42079,"90917",-224.9478,11,1913.84
0.02,"375","3","4","2","Xerox 1971","3",42077,42078,"90917",196.8,6,27.47
0.03,"377","3","1","2","3M Office Air Cleaner","1",42111,42111,"89579",250.0376,17,460.87
0.07,"381","3","2","2","Deluxe Rollaway Locking File with Drawer","1",42125,42125,"88929",-381.8412,1,394.51
0.06,"383","3","2","2","Pressboard Data Binder, Crimson, 12"" X 8 1/2""","2",42082,42082,"88928",-82.823,7,38.65
0.07,"383","2","2","3","8860","2",42082,42084,"88928",107.082,5,279.83
0.1,"387","2","2","2","GBC Instant Index™ System for Binding Systems","1",42167,42169,"90339",-27.28375,15,126.9
0.03,"388","3","2","2","Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)","1",42007,42009,"90337",-51.5592,4,22.82
0.01,"388","3","2","3","T18","1",42007,42010,"90337",-263.56572,2,188.66
0.03,"389","1","2","1","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms","1",42041,42045,"90338",411.5172,11,1845.23
0.02,"392","3","2","3","Fellowes EZ Multi-Media Keyboard","1",42068,42070,"86383",-159.68,1,37.16
0.01,"392","3","2","1","Telescoping Adjustable Floor Lamp","1",42068,42071,"86383",27.91,2,43.65
0.07,"393","3","2","2","Filing/Storage Totes and Swivel Casters","2",42050,42057,"86382",-81.77,3,31.44
0.04,"395","3","2","3","Logitech Access Keyboard","3",42173,42174,"86384",-19.208,4,64.59
0.06,"395","3","2","2","Xerox 1929","3",42173,42175,"86384",7.44,20,461.94
0.1,"397","3","2","1","Laminate Occasional Tables","2",42037,42038,"89319",-372.485971,8,1216.32
0.05,"398","3","2","1","Howard Miller 16"" Diameter Gallery Wall Clock","2",42147,42149,"89320",411.5172,31,1913.84
0.03,"406","3","4","2","Rediform S.O.S. Phone Message Books","2",42145,42146,"87804",50.2044,15,72.76
0.07,"408","3","2","2","Binding Machine Supplies","1",42126,42130,"89639",236.2371,14,400.47
0.05,"411","2","1","2","Hot File® 7-Pocket, Floor Stand","4",42128,42131,"87905",411.5172,9,1531.31
0.09,"421","3","4","3","Polycom Soundstation EX Audio-Conferencing Telephone, Black","2",42041,42043,"87700",-381.8412,1,919.09
0.02,"428","3","2","3","Memorex 4.7GB DVD+R, 3/Pack","4",42019,42020,"88479",163.1574,15,236.46
0,"428","3","2","3","Accessory20","4",42019,42020,"88479",-302.225,1,73.82
0.05,"428","3","2","2","Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""","4",42066,42068,"88480",90.62,22,243.11
0.05,"437","3","4","3","StarTAC ST7762","2",42177,42182,"90695",411.5172,9,952.26
0,"444","3","4","1","Master Giant Foot® Doorstop, Safety Yellow","1",42149,42152,"88085",86.438,43,355.92
0.03,"445","3","4","2","14-7/8 x 11 Blue Bar Computer Printout Paper","1",42105,42107,"88083",-4.45999999999999,2,101.71
0.09,"445","1","4","1","O'Sullivan Living Dimensions 3-Shelf Bookcases","1",42178,42179,"88084",-381.8412,9,1766.68
0.09,"445","3","4","2","Newell 333","1",42178,42179,"88084",-3.784,11,29.02
0.04,"447","1","2","1","Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum","1",42180,42183,"90449",-82.904,1,159.51
0.05,"447","3","2","3","2160i","1",42180,42180,"90449",411.5172,11,1838.85
0.03,"451","3","3","3","210 Trimline Phone, White","4",42104,42105,"86010",-53.2962,2,35.48
0.04,"451","3","3","2","Vinyl Sectional Post Binders","4",42151,42152,"86012",299.6739,12,434.31
0.01,"451","3","3","2","GBC Instant Index™ System for Binding Systems","4",42009,42014,"86013",-15.456,2,19.86
0.06,"451","3","3","2","Avery 514","4",42009,42018,"86013",16.0494,8,23.26
0.01,"452","3","3","3","Accessory36","4",42151,42152,"86012",-235.895,1,51.83
0.03,"453","3","2","1","Seth Thomas 14"" Putty-Colored Wall Clock","4",42132,42134,"86011",-41.32,1,32.4
0.07,"460","3","3","2","Tenex Personal Self-Stacking Standard File Box, Black/Gray","2",42147,42154,"86014",7.90000000000001,31,492.9
0.07,"463","3","4","2","Economy Rollaway Files","4",42018,42020,"88061",411.5172,7,1081.54
0.08,"466","1","4","3","Panasonic KX-P3200 Dot Matrix Printer","2",42015,42015,"88060",411.5172,5,1132.84
0.02,"467","3","4","1","Tensor ""Hersey Kiss"" Styled Floor Lamp","2",42015,42016,"88060",-381.8412,11,143.63
0.06,"468","3","4","2","Holmes Odor Grabber","2",42015,42016,"88060",-27.7388,5,73.04
0.05,"469","2","4","1","Eldon Image Series Black Desk Accessories","2",42015,42017,"88060",-128.6872,7,33.35
0.03,"470","3","4","2","Xerox 188","2",42015,42015,"88060",23.2028,5,60.24
0.07,"471","2","1","3","Motorola SB4200 Cable Modem","3",42043,42043,"3138",-381.8412,4,718.03
0.07,"472","2","1","3","Motorola SB4200 Cable Modem","2",42043,42043,"88023",-381.8412,1,179.51
0.03,"483","3","2","2","Staples 6 Outlet Surge","1",42031,42032,"90353",-18.19,6,73.18
0.06,"483","3","2","2","Cardinal Poly Pocket Divider Pockets for Ring Binders","1",42117,42118,"90354",-24.05754,2,8.82
0.07,"483","3","2","3","Canon PC1060 Personal Laser Copier","1",42117,42119,"90354",411.5172,9,1913.84
0.05,"485","3","2","2","Avery 49","4",42081,42083,"91062",6.0513,3,8.77
