,country,serial,firmid,wfinal,phase,cor2_1,date_1,time_1,cor2_2,date_2,time_2,cor2_3,date_3,time_3,cor4,cor5,resp,cor7,cor7_oth,eg_cor8,jo_cor8,ma_cor8,cor9,cor10,cor11,cor12,cor13,cor14,cor15,cor16,fir1,fir1_1,fir2,fir3,fir4,fir5,fir6_a,fir6_b,fir7,fir8_1,fir8_2,eg_fir9,jo_fir9,ma_fir9,fir10,fir11_1,fir11_2,fir12,fir13,fir14,fir15,fir16,fir17,fir18,fir19,fir20,fir21_1,fir21_2,fir22,fir23,fir24,fir25,fir26,eg_fir27,jo_fir27,ma_fir27,eg_fir28,jo_fir28,ma_fir28,eg_fir29,jo_fir29,ma_fir29,eg_fir30,jo_fir30,ma_fir30,eg_fir31,jo_fir31,ma_fir31,eg_fir32,jo_fir32,ma_fir32,fir33,fir34,fir35,fir36,fir37,fir37_oth,fir38_1,fir38_2,fir38_3,fir38_4,eg_fir39,jo_fir39,ma_fir39,eg_fir39_1,jo_fir39_1,ma_fir39_1,fir40,fir41,eg_fir42,jo_fir42,ma_fir42,eg_fir42_1,jo_fir42_1,ma_fir42_1,fir44,fir45
10,Egypt,733,81800000733,2.0217957,First phase 1st script,Complete,4/16/2022,1582-10-14 01:06:33,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Dakahlia,,,Urban,1995,No,No,No,No,,No,1,No,,,,,Male,University,more than 75%,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"100,000  to less than  200,000  EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,40000,,,,,,6 to 20,DK,0,,,,,,No,No
11,Egypt,738,81800000738,2.0217957,First phase 1st script,Complete,4/17/2022,1582-10-14 11:23:27,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Giza,,,Urban,2017,No,No,No,No,,Yes,3,,0,0,0,1,Male,University,51% to 75%,DK,2017,100,,,DK,,,No,,No,,No,100,Yes,Yes,digital tasks are outsourced,,,No,,2,0,,DK,,,Don't know,,,0,,,,,,DK,,,Don't know,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,10000,,,,,,101 or more,60,DK,,,Don't know,,,No,Yes
12,Egypt,745,81800000745,2.0217957,First phase 1st script,Did not answer,6/23/2022,1582-10-14 14:49:18,Complete,6/27/2022,1582-10-14 17:19:50,,,,Yes,Less than 6,Owner,Other Manufacturing or services (specify),Utilities,Cairo,,,Urban,2019,Yes,No,No,Yes,No,,5,,0,0,0,2,Male,Secondary Technical/ (general or Azhar),25% or less,1,2019,1400,,,DK,1,2019,Yes,25,No,,Yes,100,Yes,No,"Yes, one person",DK,2019,Yes,Important,0,0,4,DK,,,"1,000,000  to less than  5,000,000 EGP",,,DK,,,"1,000,000  to less than  5,000,000 EGP",,,DK,,,"5,000,000 EGP or more",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,1200000,,,,,,1 to 5,100,DK,,,"100,000 to less than150,000 EGP",,,Yes,No
13,Egypt,806,81800000806,2.0217957,First phase 1st script,Complete,4/14/2022,1582-10-14 02:50:15,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Menoufia,,,Urban,2020,No,No,No,No,,No,1,No,,,,,Male,Intermediate Institute/ Higher Institute,25% or less,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"5,000,000 EGP or more",,,6 to 20,0,DK,,,Refuse,,,No,Yes
14,Egypt,813,81800000813,2.0217957,First phase 1st script,Did not answer,5/15/2022,1582-10-14 10:48:33,Did not answer,5/16/2022,1582-10-14 13:59:53,Complete,5/17/2022,1582-10-14 13:02:43,Yes,6 to 49,Owner,Retail or Wholesale or Services of Motor Vehicles,,Menoufia,,,Rural,2008,No,No,No,No,,No,7,,0,2,0,4,Male,Primary/ Preparatory,25% or less,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,DK,,,Don't know,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,200,,,,,,1 to 5,DK,DK,,,"0 to less than 50,000 EGP",,,No,No
15,Egypt,1025,81800001025,2.0217957,First phase 1st script,Complete,4/14/2022,1582-10-14 11:33:04,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Sharkia,,,Urban,2017,No,No,Yes,No,,,2,,0,0,1,1,Male,University,more than 75%,6,2017,200,,,5,1,2020,No,,Yes,10,Yes,100,Yes,Yes,"Yes, one person",,,Yes,Very important,1,0,0,20000,,,,,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,10000,,,,,,1 to 5,5,20000,,,,,,Yes,Yes
16,Egypt,1027,81800001027,2.0217957,First phase 1st script,Phone disconnected/ busy,4/12/2022,1582-10-14 12:19:10,Complete,4/21/2022,1582-10-14 12:25:50,,,,No,Less than 6,Other person who can tell you about the business earnings and employees,Retail or Wholesale or Services of Motor Vehicles,,Giza,,,Rural,DK,No,No,No,No,,No,3,,1,2,0,0,Female,I don't know,25% or less,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,Don't know,,,DK,,,Don't know,,,DK,,,Don't know,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"0 to less than 100,000 EGP",,,1 to 5,DK,DK,,,"100,000 to less than150,000 EGP",,,No,No
17,Egypt,1035,81800001035,2.0217957,First phase 1st script,Did not answer,5/16/2022,1582-10-14 10:24:40,Did not answer,5/17/2022,1582-10-14 12:52:08,Complete,5/18/2022,1582-10-14 17:53:40,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Cairo,,,Urban,2021,No,No,No,No,,No,1,No,,,,,Male,University,more than 75%,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,,,,,,,,,,,,,NA,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,10000,,,,,,1 to 5,0,0,,,,,,No,No
18,Egypt,1139,81800001139,2.0217957,First phase 1st script,Complete,5/17/2022,1582-10-14 12:22:02,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Giza,,,Urban,2021,No,No,No,No,,Yes,5,,3,3,0,2,Female,Intermediate Institute/ Higher Institute,more than 75%,6,2021,500,,,40,,,No,,No,,Yes,80,Yes,Yes,"Yes, one person",,,Yes,Very important,2,2,,0,,,,,,,,,,,,,,,,,,Yes,5,No,,"private domestic individuals, companies or organizations",,100,0,0,0,200000,,,,,,101 or more,70,30000,,,,,,No,Yes
19,Egypt,1184,81800001184,2.0217957,First phase 1st script,Phone disconnected/ busy,4/13/2022,1582-10-14 10:51:59,Complete,4/19/2022,1582-10-14 15:07:58,,,,Yes,6 to 49,General Manager,Retail or Wholesale or Services of Motor Vehicles,,Gharbia,,,Urban,2000,No,No,No,No,,No,9,,0,0,8,1,Male,University,more than 75%,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,1000000,,,,,,2000000,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"100,000  to less than  200,000  EGP",,,21 to 100,10,800000,,,,,,No,No
20,Egypt,1194,81800001194,2.0217957,First phase 1st script,Incomplete and call returned,6/6/2022,1582-10-14 14:58:26,Complete,6/8/2022,1582-10-14 11:51:19,,,,No,6 to 49,Other senior manager (HR/CFO),Education,, Alex,,,Urban,1994,Yes,No,No,No,,,7,,6,0,7,0,Male,I don't know, 26% to 50%,DK,2004,DK,,,DK,,,No,,No,,No,5,No,No,"Yes, one person",DK,2004,No,,2,0,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,NA,,NA,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"0 to less than 100,000 EGP",,,6 to 20,30,DK,,,"0 to less than 50,000 EGP",,,No,No
21,Egypt,1271,81800001271,0.16552226,First phase 1st script,Complete,5/29/2022,1582-10-14 11:52:39,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Behera,,,Urban,2018,No,No,No,Yes,No,,1,No,,,,,Male,University,more than 75%,8,2018,90,,,75,1,2019,No,,No,,Yes,100,No,No,No,,,Yes,Important,4,0,30,DK,,,Refuse,,,Refused,,,Refuse,,,500000,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,10000,,,,,,21 to 100,100,60000,,,,,,No,No
22,Egypt,1276,81800001276,2.0217957,First phase 1st script,Complete,4/17/2022,1582-10-14 14:45:21,,,,,,,Yes,Less than 6,Owner,Other Manufacturing or services (specify),Lawyer office,Giza,,,Rural,1995,No,No,No,No,,No,1,No,,,,,Male,University,more than 75%,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,DK,,,"0 to less than 100,000 EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"0 to less than 100,000 EGP",,,none,,0,,,,,,No,No
23,Egypt,1280,81800001280,2.0217957,First phase 1st script,Did not answer,4/17/2022,1582-10-14 15:16:21,Phone disconnected/ busy,4/19/2022,1582-10-14 14:13:26,Complete,4/21/2022,1582-10-14 11:55:25,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Cairo,,,Urban,1990,No,No,No,No,,Yes,2,,0,0,1,1,Male,Primary/ Preparatory, 26% to 50%,2,2022,150,,,2,,,No,,No,,Yes,0,No,No,No,,,Yes,Important,0,0,,Refused,,,Refuse,,,Refused,,,Refuse,,,Refused,,,Refuse,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,Refused,,,Refuse,,,6 to 20,DK,Refused,,,Refuse,,,No,No
24,Egypt,1298,81800001298,2.0217957,First phase 1st script,Complete,4/13/2022,1582-10-14 10:20:20,,,,,,,Yes,Less than 6,Owner,"Agriculture, fishing or mining",,Cairo,,,Rural,2021,No,No,No,No,,No,1,No,,,,,Male,Intermediate Institute/ Higher Institute,more than 75%,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"100,000  to less than  200,000  EGP",,,,,,,,,,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,5000,,,,,,101 or more,0,0,,,,,,No,No
25,Egypt,1413,81800001413,4.160148,First phase 1st script,Complete,4/13/2022,1582-10-14 15:57:26,,,,,,,Yes,Less than 6,Owner,Health,,Damietta,,,Urban,2011,No,No,No,No,,No,2,,1,0,0,1,Male,Above university level,51% to 75%,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,30000,,,,,,35000,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,700000,,,,,,21 to 100,10,18000,,,,,,No,No
26,Egypt,1613,81800001613,4.160148,First phase 1st script,Did not answer,4/13/2022,1582-10-14 12:56:37,Complete,4/19/2022,1582-10-14 14:35:25,,,,No,Less than 6,Owner,Health,,Cairo,,,Urban,2021,No,No,No,No,,No,2,,1,0,0,1,Female,Above university level,more than 75%,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,,,,,,,,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"0 to less than 100,000 EGP",,,1 to 5,DK,Refused,,,Refuse,,,No,No
27,Egypt,1714,81800001714,4.160148,First phase 1st script,Complete,6/7/2022,1582-10-14 14:36:52,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Cairo,,,Urban,2021,No,No,No,No,,Yes,2,,0,0,0,1,Male,Less than primary,25% or less,6,2021,105,,,1,,,No,,No,,No,0,Yes,Yes,No,,,Yes,Important,2,2,,DK,,,"0 to less than 100,000 EGP",,,,,,,,,,,,,,,NA,,NA,,"private domestic individuals, companies or organizations",,100,0,0,0,15000,,,,,,1 to 5,2,36000,,,,,,No,No
28,Egypt,1763,81800001763,2.0217957,First phase 1st script,Complete,6/25/2022,1582-10-14 11:13:35,,,,,,,No,6 to 49,Other senior manager (HR/CFO),Retail or Wholesale or Services of Motor Vehicles,,Dakahlia,,,Urban,2000,No,No,No,No,,Yes,10,,1,0,0,1,Female,University,25% or less,DK,2013,DK,,,DK,,,No,,No,,No,0,No,No,No,,,Yes,Important,4,0,,DK,,,Don't know,,,DK,,,Don't know,,,DK,,,Don't know,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,Don't know,,,1 to 5,30,DK,,,Don't know,,,No,No
29,Egypt,1777,81800001777,2.0217957,First phase 1st script,Incomplete and call returned,5/14/2022,1582-10-14 10:25:43,Complete,5/15/2022,1582-10-14 12:08:02,,,,No,Less than 6,Owner,Information and communication or IT,,Cairo,,,Urban,2019,Yes,No,No,No,,,4,,0,3,0,1,Male,Above university level,25% or less,DK,2019,200,,,1,,,No,,No,,Yes,20,Yes,No,"Yes, one person",DK,2021,Yes,Neither/ nor,3,5,,15000,,,,,,0,,,,,,30000,,,,,,NA,,NA,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"0 to less than 100,000 EGP",,,21 to 100,DK,10000,,,,,,Yes,No
30,Egypt,1795,81800001795,2.0217957,First phase 1st script,Complete,6/9/2022,1582-10-14 12:04:10,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Giza,,,Urban,2017,Yes,No,No,No,,,1,No,,,,,Male,University,more than 75%,DK,2019,145,,,2,,,No,,No,,Yes,1,Yes,No,No,11,2018,Yes,Very important,3,0,,Refused,,,Refuse,,,Refused,,,Refuse,,,Refused,,,Refuse,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,Refuse,,,101 or more,100,0,,,,,,No,No
31,Egypt,1860,81800001860,2.0217957,First phase 1st script,Complete,5/14/2022,1582-10-14 10:37:38,,,,,,,Yes,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Cairo,,,Urban,2021,No,No,No,No,,Yes,1,No,,,,,Male,Intermediate Institute/ Higher Institute,25% or less,DK,2021,DK,,,DK,,,No,,No,,No,0,No,No,No,,,No,,2,0,,DK,,,Don't know,,,,,,,,,,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,Don't know,,,6 to 20,DK,0,,,,,,No,No
32,Egypt,1877,81800001877,1.0296382,First phase 1st script,Incomplete and call returned,4/13/2022,1582-10-14 12:33:51,Complete,4/24/2022,1582-10-14 12:31:05,,,,No,6 to 49,Owner,Retail or Wholesale or Services of Motor Vehicles,,Red sea,,,Urban,2017,Yes,No,No,No,,,11,,0,0,3,1,Male,Secondary Technical/ (general or Azhar), 26% to 50%,8,2019,DK,,,DK,,,No,,No,,No,0,Yes,Yes,digital tasks are outsourced,8,2019,Yes,Important,0,2,,750000,,,,,,300000,,,,,,400000,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,90000,,,,,,1 to 5,1,200000,,,,,,No,No
33,Egypt,1944,81800001944,2.0217957,First phase 1st script,Complete,6/25/2022,1582-10-14 11:35:38,,,,,,,No,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Aswan,,,Urban,2021,No,No,Yes,No,,,4,,2,0,0,1,Male,Secondary Technical/ (general or Azhar), 26% to 50%,5,2022,300,,,DK,5,2022,No,,Yes,5,Yes,0,No,No,No,,,Yes,Important,2,0,28,Refused,,,Refuse,,,,,,,,,,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"100,000  to less than  200,000  EGP",,,1 to 5,50,120000,,,,,,Yes,Yes
34,Egypt,1947,81800001947,2.0217957,First phase 1st script,Complete,4/16/2022,1582-10-14 13:38:04,,,,,,,Yes,6 to 49,General Manager,Information and communication or IT,,Cairo,,,Urban,2010,No,No,No,No,,Yes,30,,6,20,0,0,Female,University,51% to 75%,DK,2010,700,,,DK,,,No,,Yes,10,Yes,60,Yes,Yes,"Yes, one person",,,Yes,Very important,1,0,,DK,,,"5,000,000 EGP or more",,,DK,,,Don't know,,,DK,,,"200,000  to less than 1,000,000  EGP",,,Yes,50,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"1,000,000  to less than  5,000,000 EGP",,,101 or more,10,750000,,,,,,Yes,Yes
35,Egypt,1970,81800001970,2.0217957,First phase 1st script,Complete,4/17/2022,1582-10-14 14:50:50,,,,,,,Yes,6 to 49,Owner,Retail or Wholesale or Services of Motor Vehicles,,Aswan,,,Rural,2021,No,No,No,No,,Yes,11,,0,3,0,3,Male,Secondary Technical/ (general or Azhar),25% or less,9,2021,75,,,70,,,No,,No,,Yes,20,No,Yes,No,,,Yes,Very important,1,5,,1000000,,,,,,,,,,,,,,,,,,No,,No,,"private domestic individuals, companies or organizations",,75,0,25,0,50000,,,,,,1 to 5,0,48000,,,,,,Yes,Yes
36,Egypt,1989,81800001989,2.0217957,First phase 1st script,Incomplete and call returned,6/6/2022,1582-10-14 12:04:36,Complete,6/8/2022,1582-10-14 10:03:29,,,,No,Less than 6,Owner,Retail or Wholesale or Services of Motor Vehicles,,Beni-Suef,,,Urban,2006,No,No,No,No,,No,2,,0,1,0,1,Male,Intermediate Institute/ Higher Institute,51% to 75%,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"0 to less than 100,000 EGP",,,Refused,,,Refuse,,,Refused,,,Refuse,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,Refused,,,Refuse,,,6 to 20,50,36000,,,,,,No,No
37,Egypt,1998,81800001998,0.16552226,First phase 1st script,Complete,5/12/2022,1582-10-14 10:16:13,,,,,,,Yes,6 to 49,General Manager,"Agriculture, fishing or mining",,Cairo,,,Urban,2000,No,No,No,Yes,No,,35,,20,20,8,3,Male,University,51% to 75%,DK,2019,240,,,1,DK,2019,Yes,5,Yes,10,No,20,Yes,No,"Yes, one person",,,Yes,Very important,4,2,0,Refused,,,"5,000,000 EGP or more",,,Refused,,,"5,000,000 EGP or more",,,Refused,,,"5,000,000 EGP or more",,,Yes,75,Yes,25,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,Don't know,,,21 to 100,DK,DK,,,Don't know,,,Yes,Yes
38,Egypt,2007,81800002007,4.160148,First phase 1st script,Complete,5/15/2022,1582-10-14 13:22:52,,,,,,,No,Less than 6,Owner,Industry of Food,,Cairo,,,Urban,2013,No,No,No,No,,No,5,,1,3,2,2,Male,Intermediate Institute/ Higher Institute, 26% to 50%,,,,,,,,,,,,,,,,,,,,,,,,,DK,,,"200,000  to less than 1,000,000  EGP",,,DK,,,"200,000  to less than 1,000,000  EGP",,,DK,,,"100,000  to less than  200,000  EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,100000,,,,,,21 to 100,60,200000,,,,,,No,No
39,Egypt,2094,81800002094,2.0217957,First phase 1st script,Complete,4/12/2022,1582-10-14 15:16:55,,,,,,,Yes,6 to 49,Other senior manager (HR/CFO),Accomodation and food services,,Ismailia,,,Urban,2021,No,No,No,No,,Yes,10,,2,0,10,0,Male,University, 26% to 50%,1,2022,1500,,,45,,,Yes,18,No,,Yes,20,No,No,No,,,No,,0,0,,Refused,,,Refuse,,,,,,,,,,,,,,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,Refused,,,Refuse,,,101 or more,DK,DK,,,Refuse,,,Yes,No
40,Egypt,2131,81800002131,2.0217957,First phase 1st script,Complete,6/9/2022,1582-10-14 11:59:29,,,,,,,Yes,6 to 49,Owner,Textile & Garments,,Kalyoubia,,,Urban,2019,Yes,No,No,Yes,No,,10,,0,9,0,1,Male,Secondary Technical/ (general or Azhar),25% or less,DK,2019,300,,,3,9,2019,Yes,30,No,,Yes,0,No,No,"Yes, one person",DK,DK,Yes,Very important,4,1,0,DK,,,"100,000  to less than  200,000  EGP",,,DK,,,"200,000  to less than 1,000,000  EGP",,,DK,,,"200,000  to less than 1,000,000  EGP",,,No,,No,,"private domestic individuals, companies or organizations",,100,0,0,0,DK,,,"0 to less than 100,000 EGP",,,101 or more,100,DK,,,"0 to less than 50,000 EGP",,,Yes,No
